id,peso,entrada_espanol,forma_espanol,tipo_abreviado,tipo_palabra,traduccion_tsotsil,uso_o_ejemplo,region_abreviada,region,vease,nota_parentesis,transcripcion_original
1701,86,Moviznar,Movizna,vi,verbo intransitivo,"ta xac' q'uinabal, ta xac! vitstil jo!. tiempo de frío no llueve fuerte, nada más llovizna. Ta yora sictique mu xac! tsots jo!, ja! nolox vitstil jo!. Cham, Chen ta xac! qluinobal Zin ta xac! q'uinubal",,Cham; Ch'en; Zin,Chamula; Chenalhó; Zinacantán,,,"Moviznar: Movizna vi ta xac' ta xac' q'uinabal, ta xac! vitstil jo!. tiempo de frío no llueve fuerte, nada más llovizna. Ta yora sictique mu xac! tsots jo!, ja! nolox vitstil jo!. Cham, Chen ta xac! qluinobal Zin ta xac! q'uinubal"
1702,86,lluvia,,f,sustantivo femenino,jo!,"Este año se atrasaron las lluvias, empezó fines de junio. Li a xyal ta ora li jole, ja! to ilic ta slajeb junio. Cham, Ch!en, Zin vo!",Cham; Ch'en; Zin,Chamula; Chenalhó; Zinacantán,,,"lluvia f jo!. Este año se atrasaron jo!. Este año se atrasaron las lluvias, empezó fines de junio. Li a xyal ta ora li jole, ja! to ilic ta slajeb junio. Cham, Ch!en, Zin vo!"
1703,86,macizo,,adj,adjetivo,yij madera maciza tsatsal te!,,,,,,macizo adj yij madera maciza yij madera maciza tsatsal te!
1704,86,machete,,m,sustantivo masculino,machita,,,,,,machete m machita machita
1705,86,machucar,lo machuca,vr,verbo reflexivo,"ta snoy, ta svoch!, ta snet!",,,,,,"machucar: lo machuca vr ta snoy, ta ta snoy, ta svoch!, ta snet!"
1706,86,madera,,f,sustantivo femenino,"te', tenel te! Ch'en, Ixt tenal te!",,Ch'en; Ixt,Chenalhó; Ixtapa,,,"madera f te', tenel te! Ch'en, Ixt te', tenel te! Ch'en, Ixt tenal te!"
1707,86,madre,,f,sustantivo femenino,me'il su madre sme!; ya (término usado para llamar a la madre),,,,,término usado para llamar a la madre,madre f me'il su madre sme!; ya me'il su madre sme!; ya (término usado para llamar a la madre)
1708,86,madrina,,f,sustantivo femenino,jalal me'il su madrina sjalal me!. Llevaron a bautizar al niño; Juana fue la madrina. lyiq'uic batel ta biiltasel li unene; ja! icom ta jalal me'il li ¡Xunca'e. Cham ch'ul me'il xt met'il ta jo!,,Cham,Chamula,,,madrina f jalal me'il su madrina jalal me'il su madrina sjalal me!. Llevaron a bautizar al niño; Juana fue la madrina. lyiq'uic batel ta biiltasel li unene; ja! icom ta jalal me'il li ¡Xunca'e. Cham ch'ul me'il xt met'il ta jo!
1709,87,madrugada,,f,sustantivo femenino,"yamal osil, ic'luman, ic! to","Me levanté en la madrugada; todavía no amanecía. ta ic!luman, sc'an tolox sacub. Ch'en ic'pulan",Ch'en,Chenalhó,,,"madrugada f yamal osil, ic'luman, ic! yamal osil, ic'luman, ic! to. Me levanté en la madrugada; todavía no amanecía. ta ic!luman, sc'an tolox sacub. Ch'en ic'pulan"
1710,87,madurar,se madura,vi,verbo intransitivo,"ta xtalaj, ta xyijub","No se pueden dejar los plátanos madurando en el árbol porque se los comen los pájaros. Mu xu! tey xtalaj ta stetel li lobole, yu'un chlotat ta mut",,,,,"madurar: se madura vi ta xtalaj, ta ta xtalaj, ta xyijub. No se pueden dejar los plátanos madurando en el árbol porque se los comen los pájaros. Mu xu! tey xtalaj ta stetel li lobole, yu'un chlotat ta mut."
