id,peso,entrada_espanol,forma_espanol,tipo_abreviado,tipo_palabra,traduccion_tsotsil,uso_o_ejemplo,region_abreviada,region,vease,nota_parentesis,transcripcion_original
537,31,casualidad,,f,sustantivo femenino,yutun xa no'ox,"Por pura casualidad encontramos a mi tía en la plaza, pues había mucha catarro gente. Yutun xa nolox lec tey ijnupcutic li junme! ta chtivite, yulun toj toyol to'ox crixchanoetic",,,,,"casualidad f yutun xa no'ox. Por yutun xa no'ox. Por pura casualidad encontramos a mi tía en la plaza, pues había mucha catarro gente. Yutun xa nolox lec tey ijnupcutic li junme! ta chtivite, yulun toj toyol to'ox crixchanoetic."
538,32,catarro,,m,sustantivo masculino,"simal, simal obal",,,,,,"catarro m simal, simal obal simal, simal obal"
539,32,catre,,m,sustantivo masculino,"biq'uit tem Ch/en vayibal, vayabil",,,,,,"catre m biq'uit tem Ch/en vayibal, biq'uit tem Ch/en vayibal, vayabil"
540,32,cavar,lo cava,vr,verbo reflexivo,"ta sjoc!, ta sjom",Los hombres cavan la tierra para hacer un hoyo. Li viniquetique ta sjoqluic balumil sventa ta spasic li chiene. Ixt ta sch'oj,Ixt,Ixtapa,,,"cavar: lo cava vr ta sjoc!, ta sjom. ta sjoc!, ta sjom. Los hombres cavan la tierra para hacer un hoyo. Li viniquetique ta sjoqluic balumil sventa ta spasic li chiene. Ixt ta sch'oj"
541,32,cazador,,m,sustantivo masculino,"jtuctavil, jpaxyarol, jtuctaej-<hij",El cazador tiene una escopeta grande para caz: venados. Li jpaxyarol vi stuc! sventa ta smil o chij,,,,,"cazador m jtuctavil, jpaxyarol, jtuctavil, jpaxyarol, jtuctaej-<hij. El cazador tiene una escopeta grande para caz: venados. Li jpaxyarol vi stuc! sventa ta smil o chij."
542,32,cazar,lo caza,vr,verbo reflexivo,ta stucta. Vea cazar un conejo con la escopeta. Ba tuc'ao talel jcotuc ttul schiluc li tuq!ue.,,,,,,cazar: lo caza vr ta stucta. Vea ta stucta. Vea cazar un conejo con la escopeta. Ba tuc'ao talel jcotuc ttul schiluc li tuq!ue.
543,32,cazuela,,f,sustantivo femenino,lumal xalten,La cazuela está llena de mole. Li lumal xaltene noj ta voc-ich. Ch/en lumal xaltem,,,,,cazuela f lumal xalten. La cazuela lumal xalten. La cazuela está llena de mole. Li lumal xaltene noj ta voc-ich. Ch/en lumal xaltem
544,32,cebar,lo ceba,vt,verbo transitivo,ta sjuples. Está cebando al puerco porque quiere matarlo en,"Todos Santos. Yacal ta sjuptes li chitome yulun ta sctan ta smil ta Santo. Cham, Chlen ta sjubes xt ta sjupttas",Cham,Chamula,,,"cebar: lo ceba ví ta sjuples. Está ta sjuples. Está cebando al puerco porque quiere matarlo en Todos Santos. Yacal ta sjuptes li chitome yulun ta sctan ta smil ta Santo. Cham, Chlen ta sjubes xt ta sjupttas"
545,32,cebo,,m,sustantivo masculino,xepu Cham xepu! Ixt xevo Zin xevu,,Cham; Ixt; Zin,Chamula; Ixtapa; Zinacantán,,,cebo m xepu Cham xepu! Ixt xevo xepu Cham xepu! Ixt xevo Zin xevu
546,32,cebolla,,f,sustantivo femenino,"sevulya, tuix",Las arrieras terminaron con toda la cebolla de la hortaliza. Ali q!uise la slajesanan scotol li sevulya li tey ta tstunbaltique,,,,,"cebolla f sevulya, tuix. Las arrieras sevulya, tuix. Las arrieras terminaron con toda la cebolla de la hortaliza. Ali q!uise la slajesanan scotol li sevulya li tey ta tstunbaltique."
547,32,cecina,,f,sustantivo femenino,"jisbil beq'uet, taqui beq'uet Chen taqui ti'bol, jisbil ti'bol Zin taxux",,Ch'en; Zin,Chenalhó; Zinacantán,,,"cecina f jisbil beq'uet, taqui beq'uet jisbil beq'uet, taqui beq'uet Chen taqui ti'bol, jisbil ti'bol Zin taxux"
548,32,cedro,,m,sustantivo masculino,chtut te!,,,,,,cedro m chtut te! chtut te!
549,32,ceiba,,f,sustantivo femenino,"yaxte! Ixt, Zin inop",,Ixt; Zin,Ixtapa; Zinacantán,,,"ceiba f yaxte! Ixt, Zin inop yaxte! Ixt, Zin inop"
550,32,ceja,,f,sustantivo femenino,"smotsob, motsobil","El niño se cortó muy cerca del ojo, arriba de la ceja. Li quereme la syaintas sba ta nopol sat, ta yactol smotsob",,,,,"ceja f smotsob, motsobil. El niño se smotsob, motsobil. El niño se cortó muy cerca del ojo, arriba de la ceja. Li quereme la syaintas sba ta nopol sat, ta yactol smotsob."
551,32,celo,,m,sustantivo masculino,"itix, ittixajel","El celar es malo, porque cuando hay celos siempre hay pleito. Li itlixajele mu xtun yulun c!aluc oy itlixe mec oy clop",,,,,"celo m itix, ittixajel. El celar es itix, ittixajel. El celar es malo, porque cuando hay celos siempre hay pleito. Li itlixajele mu xtun yulun c!aluc oy itlixe mec oy clop."
552,32,celoso,,adj,adjetivo,"jlitlixajel. Aquel hombre es muy celoso; no quiere que su mujer platique con nadie. Li vinic lele toj jlitlixajel, yu'un mu sclan ti ta xlolilaj schiluc yan crixchano li yajnile.",,,,,,"celoso adj jlitlixajel. Aquel hombre jlitlixajel. Aquel hombre es muy celoso; no quiere que su mujer platique con nadie. Li vinic lele toj jlitlixajel, yu'un mu sclan ti ta xlolilaj schiluc yan crixchano li yajnile."
553,32,cena,,f,sustantivo femenino,velel ta mal ctactal,,,,,,cena f velel ta mal ctactal velel ta mal ctactal
554,32,cenar,cena,vi,verbo intransitivo,ta xve! ta mal clactal,Mi abuelito llegó antes de que cenáramos. Li jmoltote ja! o ictot clalal naca to'ox chijvelcutic ta sventa mal c!actale,,,,,cenar: cena vi ta xve! ta mal clactal. ta xve! ta mal clactal. Mi abuelito llegó antes de que cenáramos. Li jmoltote ja! o ictot clalal naca to'ox chijvelcutic ta sventa mal c!actale.
555,32,ceniza,,f,sustantivo femenino,tanil cloc!,Hay mucha ceniza amontonada en el fogón. Ta yav li cloq!ue tey tocol epal tanil ctoc!. Ixt tanil ti! ctoc!,Ixt,Ixtapa,,,ceniza f tanil cloc!. Hay mucha tanil cloc!. Hay mucha ceniza amontonada en el fogón. Ta yav li cloq!ue tey tocol epal tanil ctoc!. Ixt tanil ti! ctoc!
556,32,censontle,,m,sustantivo masculino,"sac-tsalal-mut, sac-ta-mut Ixt- saquil tsintsonte! mut Zin sac-ch'ut mut",,Ixt; Zin,Ixtapa; Zinacantán,,,"censontle m sac-tsalal-mut, sac-ta-mut sac-tsalal-mut, sac-ta-mut Ixt- saquil tsintsonte! mut Zin sac-ch'ut mut"
557,32,ceñidor,,m,sustantivo masculino,chuquil,,,,,,ceñidor m chuquil chuquil
558,32,ceñirse,se ciñe,vr,verbo reflexivo,ta schuc,"Los hombres deben ceñirse bien el cinturón cuando van a cargar algo pesado. Claluc chcuchic clusi ol li viniquetique, sctan ti ba'i ta schuquic lec li schtutique",,,,,"ceñirse: se ciñe vr ta schuc. Los ta schuc. Los hombres deben ceñirse bien el cinturón cuando van a cargar algo pesado. Claluc chcuchic clusi ol li viniquetique, sctan ti ba'i ta schuquic lec li schtutique."
559,32,cepillar,lo cepilla,vr,verbo reflexivo,1. ta schtul (madera),El carpintero cepilló bien las tablas. Li jmeltsanej-mexaetique la schtul lec li tenel tele. 2. ta stusbe sjol,,,,madera,cepillar: lo cepilla vr 1. ta schtul 1. ta schtul (madera). El carpintero cepilló bien las tablas. Li jmeltsanej-mexaetique la schtul lec li tenel tele. 2. ta stusbe sjol
560,32,cepillo,,m,sustantivo masculino,tusobil,"Este cepillo es para peinarle la cola y la crin al caballo. Li tusobil-ca! li'i ja! sventa stusobil sne schituc sbonoc!. Cham juxobil ca! Ch'en stusubil, sjachlub Zin sjachlub",Cham; Ch'en; Zin,Chamula; Chenalhó; Zinacantán,,,"cepillo m tusobil. Este cepillo es tusobil. Este cepillo es para peinarle la cola y la crin al caballo. Li tusobil-ca! li'i ja! sventa stusobil sne schituc sbonoc!. Cham juxobil ca! Ch'en stusubil, sjachlub Zin sjachlub"
561,32,cerca,,f,sustantivo femenino,"moc, smacol. Ya se cayó la cerca del potrero. Iyal xa li smacol xaneb vacaxe. Cham smacal Chen scoralil",,Cham; Ch'en,Chamula; Chenalhó,,,"cerca f moc, smacol. Ya se cayó la moc, smacol. Ya se cayó la cerca del potrero. Iyal xa li smacol xaneb vacaxe. Cham smacal Chen scoralil"
562,32,cerca,,adv,adverbio,nopol,"Voy aquí cerca; no me tardo. Li no!ox nopol chibate, mu bu chijalij",,,,,"cerca adv nopol. Voy aquí cerca; no nopol. Voy aquí cerca; no me tardo. Li no!ox nopol chibate, mu bu chijalij."
563,32,cercano,,adj,adjetivo,nopol notox,,,,,,cercano adj nopol notox nopol notox
564,32,cercar,lo cerca,vr,verbo reflexivo,ta smac,Juan cercó bien su milpa porque está 2711 muy cerca del pueblo. Li Juane la smac lec li schobe yu'un toj nopol ta jteclum,,,,,cercar: lo cerca vr ta smac. Juan ta smac. Juan cercó bien su milpa porque está 2711 muy cerca del pueblo. Li Juane la smac lec li schobe yu'un toj nopol ta jteclum.
565,33,cerco,,m,sustantivo masculino,"moc, smacol Véase cerca",,,,"cerca moc, smacol Véase cerca",,"cerco m moc, smacol Véase cerca moc, smacol Véase cerca"
566,33,cerdo,,f,sustantivo femenino,chitom,,,,,,cerdo f chitom chitom
567,33,cerebro,,m,sustantivo masculino,"chinam Cham, Ch'en, Zin chinab, chinabil Jxf chinav",,Cham; Ch'en; Zin,Chamula; Chenalhó; Zinacantán,,,"cerebro m chinam Cham, Ch'en, Zin chinam Cham, Ch'en, Zin chinab, chinabil Jxf chinav"
568,33,cereza,,f,sustantivo femenino,chixte!,,,,,,cereza f chixte! chixte!
569,33,cerillo,,m,sustantivo masculino,"seryo, posporo Cham pospora",,Cham,Chamula,,,"cerillo m seryo, posporo Cham seryo, posporo Cham pospora"
570,33,cernir,lo cierne,vt,verbo transitivo,"ta schichin, ta schij",El albañil cierne la arena cuando va a repellar la pared. Li jva!anej-nae ba'i ta schij li jite Clalal ta spac! li clalnae. Jxr ta schichin,,,,,"cernir: lo cierne vt ta schichin, ta ta schichin, ta schij. El albañil cierne la arena cuando va a repellar la pared. Li jva!anej-nae ba'i ta schij li jite Clalal ta spac! li clalnae. Jxr ta schichin"
571,33,cernidor,,m,sustantivo masculino,chijob-ul; chichinab-arina Ch!en schijubil ul,,Ch'en,Chenalhó,,,cernidor m chijob-ul; chichinab-arina chijob-ul; chichinab-arina Ch!en schijubil ul
572,33,cerrado,,adj,adjetivo,macal,,,,,,cerrado adj macal macal
573,33,cerrar,lo cierra,vt,verbo transitivo,ta smac,,,,,,cerrar: lo cierra ví ta smac ta smac
574,33,cerrarse,se cierra,vr,verbo reflexivo,ta xmac,,,,,,cerrarse: se cierra vr ta xmac ta xmac
575,33,cerro,,m,sustantivo masculino,vits. Para ir a mi pueblo hay que subir varios cerros,Yo! chijbat ta jteclumale ta xijmuyutic ta vitsetic. Zin mol vits,Zin,Zinacantán,,,cerro m vits. Para ir a mi pueblo vits. Para ir a mi pueblo hay que subir varios cerros. Yo! chijbat ta jteclumale ta xijmuyutic ta vitsetic. Zin mol vits
576,33,cesar,cesa,vi,verbo intransitivo,ta sloqlues. Cesaron al maestro porque era muy flojo,La sloq!uesic ta abtel li maestroe yutun mu x!abtej lec. Cham ta stuchibe yabtel,Cham,Chamula,,,cesar: cesa vi ta sloqlues. Cesaron al ta sloqlues. Cesaron al maestro porque era muy flojo. La sloq!uesic ta abtel li maestroe yutun mu x!abtej lec. Cham ta stuchibe yabtel
577,33,cesta,,f,sustantivo femenino,moch,,,,,,cesta f moch moch
578,33,cicatriz,,f,sustantivo femenino,"lut'mal, luttumal",La cicatriz que tengo en la mano es de una cortada de machete. Li sluttmalil jclob lii ja! yav ye machita,,,,,"cicatriz f lut'mal, luttumal. La lut'mal, luttumal. La cicatriz que tengo en la mano es de una cortada de machete. Li sluttmalil jclob lii ja! yav ye machita."
579,33,cicatrizar,cicatriza,vi,verbo intransitivo,"ta xlutimaj, ta xluttumaj. Una herida que se infecta no cicatriza pronto. Li yaijemalil ti mi ta xpojovine mu xlut'maj ta ora. Jxt ta stsop sba",,,,,,"cicatrizar: cicatriza vi ta xlutimaj, ta ta xlutimaj, ta xluttumaj. Una herida que se infecta no cicatriza pronto. Li yaijemalil ti mi ta xpojovine mu xlut'maj ta ora. Jxt ta stsop sba"
580,33,ciego,,m,sustantivo masculino,ma'sat,,,,,,ciego m ma'sat ma'sat
581,33,cielo,,m,sustantivo masculino,vinajel,,,,,,cielo m vinajel vinajel
582,33,ciempiés,,m,sustantivo masculino,xjochoch,"A los niños les gusta ver caminar a los ciempiés porque tienen muchas patas. Li unetique toj lec ta xilic li xjochoche li claluc ta xanav ta yepal yoque. Cham jtepal-oc Ch!en mochoch claridad chon, mococh chon [xt tabal-c!ob Zin chame-at",Cham; Ch'en; Zin,Chamula; Chenalhó; Zinacantán,,,"ciempiés m xjochoch. A los niños les xjochoch. A los niños les gusta ver caminar a los ciempiés porque tienen muchas patas. Li unetique toj lec ta xilic li xjochoche li claluc ta xanav ta yepal yoque. Cham jtepal-oc Ch!en mochoch claridad chon, mococh chon [xt tabal-c!ob Zin chame-at"
583,33,ciénaga,,f,sustantivo femenino,achleltic,,,,,,ciénaga f achleltic achleltic
584,33,cierto,,adj,adjetivo,melel. Es cierto lo que me dijo. Ja! melel li c'usi laj yalbune.,,,,,,cierto adj melel. Es cierto lo que me melel. Es cierto lo que me dijo. Ja! melel li c'usi laj yalbune.
585,33,cigarra,,f,sustantivo femenino,clulub,La cigarra perjudica algunas siembras. Li clulube toj toyol xixtalan ts'unbaletic,,,,,cigarra f clulub. La cigarra clulub. La cigarra perjudica algunas siembras. Li clulube toj toyol xixtalan ts'unbaletic.
586,33,cigarrillo,,m,sustantivo masculino,tulix Cham turich' 1xt yatnab chon,,Cham,Chamula,,,cigarrillo m tulix Cham turich' 1xt tulix Cham turich' 1xt yatnab chon
587,33,cigarro,,m,sustantivo masculino,sictalal,"El cigarro puede dañar los pulmones. Li sictalale oy yictal ta xac'butic chamel ta jsotlot!tic. Cham, Ch'en sictolal",Cham; Ch'en,Chamula; Chenalhó,,,"cigarro m sictalal. El cigarro puede sictalal. El cigarro puede dañar los pulmones. Li sictalale oy yictal ta xac'butic chamel ta jsotlot!tic. Cham, Ch'en sictolal"
588,33,cilantro,,m,sustantivo masculino,culantu,,,,,,cilantro m culantu culantu
589,33,cima,,f,sustantivo femenino,sba,La cima de esa montaña está muy alta. Li sba li jabnaltic lele toj toyol,,,,,cima f sba. La cima de esa montaña sba. La cima de esa montaña está muy alta. Li sba li jabnaltic lele toj toyol.
590,33,cimientos,,m,sustantivo masculino,yoc na,Los cimientos de esta casa son hondos y anchos. Li yoc li na li'i ja! lec nat tstunul schituc lec jamal. cinco chiles c'anal<h'ut mut,,,,,cimientos m yoc na. Los cimientos yoc na. Los cimientos de esta casa son hondos y anchos. Li yoc li na li'i ja! lec nat tstunul schituc lec jamal. cinco chiles c'anal<h'ut mut
591,33,cintura,,f,sustantivo femenino,chucbenal,,,,,,cintura f chucbenal chucbenal
592,33,cinturón,,m,sustantivo masculino,chuquil,El cinturón de piel dura mucho. Li chuquil nucule lec jal xtun. Zin xinchail,Zin,Zinacantán,,,cinturón m chuquil. El cinturón de chuquil. El cinturón de piel dura mucho. Li chuquil nucule lec jal xtun. Zin xinchail
593,33,ciprés,,m,sustantivo masculino,oqluil-te!,,,,,,ciprés m oqluil-te! oqluil-te!
594,33,circular,,adj,adjetivo,"setset, sepsep","La rueda del carro es de forma circular. Li yoc li caroe, setset",,,,,"circular adj setset, sepsep. La rueda setset, sepsep. La rueda del carro es de forma circular. Li yoc li caroe, setset."
595,33,circular,circula,vi,verbo intransitivo,"ta xanav. Muchos camiones de carga circulan en la carretera. Li ta muc! ta bee, ep ta xanavic li jlicatsnom caroetique. círculo: forman un círculo ta set sbaic",Los niños forman un círculo para jugar a la pelota. Li unetique ta set sbaic clalal ta xtajinic ta pelotae. Cham ta sjoy sbaic Ixt ta sep sbaic,Cham; Ixt,Chamula; Ixtapa,,,"circular: circula vi ta xanav. Muchos ta xanav. Muchos camiones de carga circulan en la carretera. Li ta muc! ta bee, ep ta xanavic li jlicatsnom caroetique. círculo: forman un círculo ta set sbaic. Los niños forman un círculo para jugar a la pelota. Li unetique ta set sbaic clalal ta xtajinic ta pelotae. Cham ta sjoy sbaic Ixt ta sep sbaic"
596,33,ciudad,,f,sustantivo femenino,"muc' ta jteclum Cham, Ch!en muc! ta lum",,Cham; Ch'en,Chamula; Chenalhó,,,"ciudad f muc' ta jteclum Cham, muc' ta jteclum Cham, Ch!en muc! ta lum"
597,33,clara,,f,sustantivo femenino,saquil. Bate bien la clara del huevo. Juyo lec li saquil ton caxlane.,,,,,,clara f saquil. Bate bien la clara del saquil. Bate bien la clara del huevo. Juyo lec li saquil ton caxlane.
598,33,claridad,,f,sustantivo femenino,"sacjamanil, saquil, saquilal, xojobal","Hay que caminar con la claridad de la luna para poder clarín avanzar. Sctan chijxanav ta saciamanil li ue, yo! cluxi xu' chijxanav batel ta ora",,,,,"claridad f sacjamanil, saquil, saquilal, sacjamanil, saquil, saquilal, xojobal. Hay que caminar con la claridad de la luna para poder clarín avanzar. Sctan chijxanav ta saciamanil li ue, yo! cluxi xu' chijxanav batel ta ora."
599,34,clarín,,m,sustantivo masculino,sion,,,,,,clarín m sion sion
600,34,claro,,adj,adjetivo,"1. sac, sacvayan, sacjaman. Muchas personas prefieren ropa de color claro. Oy ep crixchanoctic ta sclanic sacvayan clutiletic. 2. yox, sac (de agua)","El agua está clara cuando el río no está crecido. Calal mi mo! noj li uctume lec yox li jote. claro: pone en claro ta smeltsanbe scloplal, ta svinajes. Vamos a poner en claro todas estas cosas. Ta jmeltsanbetic scloplal li ctusitic titi",,,,de agua,"claro adj 1. sac, sacvayan, sacjaman. 1. sac, sacvayan, sacjaman. Muchas personas prefieren ropa de color claro. Oy ep crixchanoctic ta sclanic sacvayan clutiletic. 2. yox, sac (de agua). El agua está clara cuando el río no está crecido. Calal mi mo! noj li uctume lec yox li jote. claro: pone en claro ta smeltsanbe scloplal, ta svinajes. Vamos a poner en claro todas estas cosas. Ta jmeltsanbetic scloplal li ctusitic titi."
601,34,clavar,lo clava,vt,verbo transitivo,"ta sbaj, ta smaj",,,,,,"clavar: lo clava ví ta sbaj, ta smaj ta sbaj, ta smaj"
602,34,clavo,,m,sustantivo masculino,laux,Se necesitan clavos largos para el techo de la casa. Ta sclan natiquil laux sventa sbajobil li jolnae,,,,,clavo m laux. Se necesitan clavos laux. Se necesitan clavos largos para el techo de la casa. Ta sclan natiquil laux sventa sbajobil li jolnae
603,34,cloqueal uéa,,vi,verbo intransitivo,"xchlec-<! xchleculaj, xloc-un, ta xticulaj Chen xclojctun Ixt ta xticticuj Zin xvition",,Ch'en; Ixt; Zin,Chenalhó; Ixtapa; Zinacantán,,,"cloqueal uéa vi xchlec-<! xchlec-<! xchleculaj, xloc-un, ta xticulaj Chen xclojctun Ixt ta xticticuj Zin xvition"
604,34,clueca,,adj,adjetivo,chlec. Dale de comer a la gallina clueca. Mactlantaso li me' chlec caxlane. Cham chlec-chlec Chlen me! clojctoj,,Cham,Chamula,,,clueca adj chlec. Dale de comer a la chlec. Dale de comer a la gallina clueca. Mactlantaso li me' chlec caxlane. Cham chlec-chlec Chlen me! clojctoj
605,34,coati,,m,sustantivo masculino,cotom,,,,,,coati m cotom cotom
606,34,cobarde,,m,sustantivo masculino,"jxi'el, jxitel vinic",,,,,,"cobarde m jxi'el, jxitel vinic jxi'el, jxitel vinic"
607,34,cobija,,f,sustantivo femenino,"chij, ctulilal chij. En la cama hay una cobija. Li ta teme oy tey jlic ctutilal chij. Chen chamaroil, xaquitail",,Ch'en,Chenalhó,,,"cobija f chij, ctulilal chij. En la chij, ctulilal chij. En la cama hay una cobija. Li ta teme oy tey jlic ctutilal chij. Chen chamaroil, xaquitail"
608,34,cobijar,lo cobija,vt,verbo transitivo,ta spix,,,,,,cobijar: lo cobija vt ta spix ta spix
609,34,cobijarse,se cobija,vr,verbo reflexivo,ta spix sba,,,,,,cobijarse: se cobija vr ta spix sba ta spix sba
610,34,cobrador,,m,sustantivo masculino,"jctan-taq!uin, jetan-loctobil, jtsob taq'uin",,,,,,"cobrador m jctan-taq!uin, jctan-taq!uin, jetan-loctobil, jtsob taq'uin"
611,34,cobrar,lo cobra,vr,verbo reflexivo,ta sclan,Ese señor viene a cobrar su dinero. Li vinic lete ta xtal sclan li staqluine,,,,,cobrar: lo cobra vr ta sclan. Ese ta sclan. Ese señor viene a cobrar su dinero. Li vinic lete ta xtal sclan li staqluine.
612,34,cobre,,m,sustantivo masculino,canal clunil taqluin Cham covre 1x1 clanal covre,,Cham,Chamula,,,cobre m canal clunil taqluin Cham canal clunil taqluin Cham covre 1x1 clanal covre
613,34,cocer,lo coce,vr,verbo reflexivo,ta sta'ajes. Cuece las papas mientras muelo el chile. Ta'ajeso li isaqtue yo! to ta juch! li iche. cocido adj tocton,,,,,,cocer: lo coce vr ta sta'ajes. Cuece ta sta'ajes. Cuece las papas mientras muelo el chile. Ta'ajeso li isaqtue yo! to ta juch! li iche. cocido adj tocton
614,34,cocina,,f,sustantivo femenino,velebal na Chlen velobal na Ixt cusina,,Ixt,Ixtapa,,,cocina f velebal na Chlen velobal na velebal na Chlen velobal na Ixt cusina
615,34,cocinar,lo cocina,vt,verbo transitivo,ta smeltsan ve'lil,,,,,,cocinar: lo cocina vf ta smeltsan ve'lil ta smeltsan ve'lil
616,34,coche,,m,sustantivo masculino,"big'uit caro, chitom c!oc!. Ayer se volteó un coche en la carretera. Li voljee ibalch'uj ta muc! ta be jcot chitom cloc!. Ch'en unin caro, nujmuj caro",,Ch'en,Chenalhó,,,"coche m big'uit caro, chitom c!oc!. big'uit caro, chitom c!oc!. Ayer se volteó un coche en la carretera. Li voljee ibalch'uj ta muc! ta be jcot chitom cloc!. Ch'en unin caro, nujmuj caro"
617,34,cochinilla,,f,sustantivo femenino,bigluit xjochoch,"La cochinilla se hace bolita cuando se le toca. Li bic!tal xjochoche ctaluc ta jtijtique ta svol sba. Cham big!uit jtepal-oc Ch/en biq'uit mococh, biqluit xmochoch 1xt tabal-ctob",Cham,Chamula,,,"cochinilla f bigluit xjochoch. La bigluit xjochoch. La cochinilla se hace bolita cuando se le toca. Li bic!tal xjochoche ctaluc ta jtijtique ta svol sba. Cham big!uit jtepal-oc Ch/en biq'uit mococh, biqluit xmochoch 1xt tabal-ctob"
618,34,cochino,,m,sustantivo masculino,chitom,,,,,,cochino m chitom chitom
619,34,cochino,,adj,adjetivo,"iclsutlan, toj ic!, balal ictubal",Los niños que no se bañan se ven muy cochinos. Li unetic li bu mu sna! x'atinique toj ictsutlanic. Cham balom ictobal Zin iotisucan,Cham; Zin,Chamula; Zinacantán,,,"cochino adj iclsutlan, toj ic!, balal iclsutlan, toj ic!, balal ictubal. Los niños que no se bañan se ven muy cochinos. Li unetic li bu mu sna! x'atinique toj ictsutlanic. Cham balom ictobal Zin iotisucan"
620,34,codicia,,f,sustantivo femenino,ta spich! o yolon,La codicia del juez le impidió obrar con justicia. Ta scoj li la spich! o yo'on ta taq'uin li juese mo! xu! spas o lec li yabtele,,,,,codicia f ta spich! o yolon. La ta spich! o yolon. La codicia del juez le impidió obrar con justicia. Ta scoj li la spich! o yo'on ta taq'uin li juese mo! xu! spas o lec li yabtele.
621,34,codiciar,lo codicia,vt,verbo transitivo,"chac yu'unin, ta spich! o yo'on",Los ladrones roban porque codician lo que no es suyo. Li j'eleqluetique ch-elc!ajic yu'un chac yutunin li clusi matuc yu'unique,,,,,"codiciar: lo codicia vt chac yu'unin, chac yu'unin, ta spich! o yo'on. Los ladrones roban porque codician lo que no es suyo. Li j'eleqluetique ch-elc!ajic yu'un chac yutunin li clusi matuc yu'unique."
622,34,codo,,m,sustantivo masculino,"1. xuctubil, xuctubal","El muchacho se lastimó el codo por jugar a la pelota. Li querem la syaintas xuctub ta scoj tajimol ta pelota. Cham xuctobal Ch/en, Zin xuclumil 2. t'ut!. Dicen que el patrón es muy codo. Chalic ti toj Vut! li ajvalile",Cham; Zin,Chamula; Zinacantán,,,"codo m 1. xuctubil, xuctubal. El 1. xuctubil, xuctubal. El muchacho se lastimó el codo por jugar a la pelota. Li querem la syaintas xuctub ta scoj tajimol ta pelota. Cham xuctobal Ch/en, Zin xuclumil 2. t'ut!. Dicen que el patrón es muy codo. Chalic ti toj Vut! li ajvalile."
623,34,codorniz,,f,sustantivo femenino,"jaxpic!, voychij",La codorniz tiene una carne muy sabrosa. Li voychije toj lec mu ta tilel li sbecttale. Cham vasquis mut Jxt xlub,Cham,Chamula,,,"codorniz f jaxpic!, voychij. La jaxpic!, voychij. La codorniz tiene una carne muy sabrosa. Li voychije toj lec mu ta tilel li sbecttale. Cham vasquis mut Jxt xlub"
624,34,coger,lo coge,vt,verbo transitivo,"ta stam, ta stsac ta sc!ob, ta stsob",,,,,,"coger: lo coge vt ta stam, ta stsac ta ta stam, ta stsac ta sc!ob, ta stsob"
625,34,cohete,,m,sustantivo masculino,"yolob=<!oc!. Necesitamos lumbre para encender este cohete. Sctan ctoc! sventa ta jchictcutic o li yolob-c!oq'ue. Cham, Ch!en yolon cloct Ixt- sibac Zin ne sibac",,Cham; Ch'en; Ixt; Zin,Chamula; Chenalhó; Ixtapa; Zinacantán,,,"cohete m yolob=<!oc!. Necesitamos yolob=<!oc!. Necesitamos lumbre para encender este cohete. Sctan ctoc! sventa ta jchictcutic o li yolob-c!oq'ue. Cham, Ch!en yolon cloct Ixt- sibac Zin ne sibac"
626,35,cojear,cojea,vi,verbo intransitivo,xcoxcun chanav,Se lastimó un pie por eso cojea. Isyaintas jun yoc ja! yutun xcoxcun chanav. Ch/en xcoxcun chanov xt xcoxcon chanav,,,,,cojear: cojea vi xcoxcun chanav. Se xcoxcun chanav. Se lastimó un pie por eso cojea. Isyaintas jun yoc ja! yutun xcoxcun chanav. Ch/en xcoxcun chanov xt xcoxcon chanav
627,35,cojo,,m,sustantivo masculino,coxo Cham coxov,,Cham,Chamula,,,cojo m coxo Cham coxov coxo Cham coxov
628,35,cojo,,adj,adjetivo,coxo,Esta silla está coja; se le quebró la pata. Li xila li'i xcoxcun yu'un ¡ctas jun yoc,,,,,cojo adj coxo. Esta silla está coja; coxo. Esta silla está coja; se le quebró la pata. Li xila li'i xcoxcun yu'un ¡ctas jun yoc.
629,35,col,,m,sustantivo masculino,schexequil itaj Cham chexob itaj,,Cham,Chamula,,,col m schexequil itaj Cham chexob schexequil itaj Cham chexob itaj
630,35,cola,,f,sustantivo femenino,neil su cola sne cola: hace cola ta schol sba,Hay que hacer cola para entrar al cine. Claluc chijbat ta cinee scan ta jchol jbatic,,,,,cola f neil su cola sne neil su cola sne cola: hace cola ta schol sba. Hay que hacer cola para entrar al cine. Claluc chijbat ta cinee scan ta jchol jbatic.
631,35,cola de tijera,,m,sustantivo masculino,cha'xol-ne mut,,,,,,cola de tijera m cha'xol-ne mut cha'xol-ne mut
632,35,colar,lo cuela,vr,verbo reflexivo,ta schij,Mi mamá cuela el atole cuando tiene grumos. Li jmete ta schij bati li ule li ctaluc mi oy svoloquile,,,,,colar: lo cuela vr ta schij. Mi mamá ta schij. Mi mamá cuela el atole cuando tiene grumos. Li jmete ta schij bati li ule li ctaluc mi oy svoloquile.
633,35,colear,lo colea,vr,verbo reflexivo,Ixt- ta sjipulan sne,,Ixt,Ixtapa,,,colear: lo colea vr Ixt- ta sjipulan sne
