id,peso,entrada_tsotsil,tipo_abreviado,tipo_palabra,categoria_general,traduccion_espanol,uso_o_ejemplo,region_abreviada,region,vease,nota_parentesis,transcripcion_original
5431,174,ta xta!i,vi,verbo intransitivo,verbo,se postra en cama (un,"Li buch'u mu xac' sba ta poxtael ta ora li c'aluc tstsaque ta chamele, toj jal ta xta'i.",,,ta'al ta xta'i [xt se acuesta: acostarse; ta xpuch'i; ta xmetsi,un enfermo,"ta xta!i vi se postra en cama (un enfermo). Li buch'u mu xac' sba ta poxtael ta ora li c'aluc tstsaque ta chamele, toj jal ta xta'i. El que no se cura pronto cuando se enferma, va a estar postrado mucho tiempo en cama. Véase ta'al ta xta'i [xt se acuesta: acostarse Véase ta xpuch'i; ta xmetsi"
5432,174,ta xtec'tsaj,vi,verbo intransitivo,verbo,"pega (una planta), se",Li bic'tal mancoetique lec ta xtec'tsaj ti mi lec tstunbile. | Li te'el roxaetique lec ta xteq'ui ta ts'unel.,,,"teq'uiel ta xteclvan /xt patea; ta xac! yoc ta xteqlui ví pega (una planta), se enraiza; teq'uiel",una planta,"ta xtec'tsaj vi pega (una planta), se enraiza. Li bic'tal mancoetique lec ta xtec'tsaj ti mi lec tstunbile. Los 187 arbolitos de mango pegan bien cuando están bien sembrados. Véase teq'uiel ta xteclvan /xt patea Véase ta xac! yoc ta xteqlui ví pega (una planta), se enraiza. Li te'el roxaetique lec ta xteq'ui ta ts'unel. El tallo de la rosa pega bien al sembrarlo. Véase teq'uiel"
5433,175,ta xtelticaj,vi,verbo intransitivo,verbo,defeca,,,,,,ta xtelticaj vi defeca
5434,175,ta xte'tsaj,,,variante dialectal,se endurece (con el,,Ixt,Ixtapa,ta xtelub,con el frío,ta xte'tsaj Ixt se endurece (con el frío) Véase ta xtelub
5435,175,ta xtelub,vi,verbo intransitivo,verbo,se endurece (con el frío),,,,,con el frío,ta xtelub vi se endurece (con el frío)
5436,175,ta xticticuj,,,variante dialectal,cloquea Véase,,Ixt,Ixtapa,xch'ec-ch'un; ta xticulaj,,ta xticticuj Ixt cloquea Véase xch'ec-ch'un; ta xticulaj
5437,175,ta xticulaj,vi,verbo intransitivo,verbo,cloquea,,,,,,ta xticulaj vi cloquea
5438,175,ta xtij [xt,,,variante dialectal,retiñe Véase,,Zin,Zinacantán,sts'ints'un,,"ta xtij [xt, Zin retiñe Véase sts'ints'un"
5439,175,ta xtijolaj,vi,verbo intransitivo,verbo,arrea,,,,tijel,,ta xtijolaj vi arrea Véase tijel
5440,175,ta xtil,vi,verbo intransitivo,verbo,arde. Li si' li'i lec ta xtil,Li si' li'i lec ta xtil yu'un taquin.,,,tilel,,ta xtil vi arde. Li si' li'i lec ta xtil yu'un taquin. Esta leña arde muy bien porque está seca. Véase tilel
5441,175,ta xtimi,vi,verbo intransitivo,verbo,se estira p.ej. alambre.,,,,timil,,ta xtimi vi se estira p.ej. alambre. Sctan pajel li yoyal moquetic li'i yu'un ta xtimi xa li alampree. Hay que enterrar estos postes porque se va a estirar el alambre. Véase timil
5442,175,ta xtilontavan,,,variante dialectal,envidia Véase,,Ch'en,Chenalhó,ta xlitlixaj,,ta xtilontavan Ch'en envidia Véase ta xlitlixaj
